text,label
Why was I charged a fee? I thought shopping was free?,15
There was an extra charge when I used my card,15
What is this fee for card payment?,15
I saw a fee on my app from one of my payments and I wasn't sure where it came from. Is there a way you can tell me when there's an additional fee for my payments?,15
Why was I charged for payments? You didn't warn me about additional fees.,15
"i have used my card online before and wasn't charged, why am i charged now",15
"I paid with my card and got charged an extra fee, what's up with that?",15
I used my card and there was a fee,15
"I am tired of getting charged fees, and I have no idea why, please let me know what/when you charge fees for.",15
Why am I getting a fee on a card payment?,15
"Hi, I am new to this. Are there any additional fees or charges that I should be aware of? I was looking through the app and I thought I saw something in regards to fee-free allowances.",15
I noticed that i got charged extra for using the card.,15
I paid with a card and there is an extra charge. Why?,15
Can you explain why I am now getting charged a fee for using my card?,15
"There are multiple instances where you added a fee to the payment, as well as some where you didn't. Do you have an outline of when a fee will be added?",15
I have been charged a fee that I didn't know about. Why have you charged me extra for card payments?,15
I got a fee when paying with my card,15
why is there a fee for a payment on my card?,15
"When using my card I was charged a fee for doing so, why?",15
What was I charged a fee for card payment?,15
What is this extra fee?,15
Why did I have to pay extra because I paid with my card?,15
I want to see what this fee is on my card payment.,15
Let me know when you charge extra for payments please. I just checked the app earlier when I saw that there was an additional fee on one of the payments that I wasn't warned about before.,15
how do i avoid charges in the future,15
An extra fee has been added to my card payment is this correct?,15
Why was there an extra charge because I used my card to pay?,15
Why do I have to pay extra for using my card?,15
"Unbeknownst to me, there was an additional charge on my prior transaction. A notification of sorts should be required and explained before future payments are made.",15
I paid with my card and was charged extra,15
My account was charged a fee. When did you start charging extra for card payments?,15
Explain the extra fee on my card when paying.,15
I was charged and shouldn't have been charged when using my card!,15
I have a fee and I don't know why,15
I was mistakenly charged a fee for using my card.,15
tell me why I was charged more with my card?,15
"My card is showing a fee from when I used it, but I thought this card was supposed to be fee free?",15
There was an extra fee when I paid with the card.,15
I think I was wrongly charged in a recent transaction when I used my card.,15
"I have been charged a fee, I didn't know about this fee before! When do you charge extra for card payments?",15
I was spending cash with my card and got a fee.,15
What are these fees i am paying?,15
Why have I been charged a fee for card payment?,15
How come I was charged an extra fee when paying with the card?,15
Why is there a charged fee for debit or credit card payment?,15
Am I getting charged for making a payment?,15
Why do some of my payments have fees?  I don't understand.,15
Why did I have to pay an additional amount when using my card to pay?,15
I paid with my card and I was charged a fee,15
There was a charge applied when I used my card.,15
I was charged a hidden fee when I paid with card.,15
Why does it cost more to pay with my card?,15
Is there a place to check for fee for payments? I feel like I'm getting charged too much at times.,15
I need to be made aware when I am being charged an extra amount for payments please. I looked over the app earlier and noticed an additional feel related to one of the payments. I was not warned about this before.,15
Why was I charged extra when paying with card?,15
Why am I charged a fee when using my debit or credit card?,15
"I am getting charged fees on some payments.  Please help me understand, where are these fees disclosed?",15
Why was the price higher when I paid with my card?,15
I just made an order and noticed an extra fee. Why have you charged me this without informing me?,15
I didn't know I was going to get charged to use my card.,15
I have been charged an extra fee when buying from your store. Why is this?,15
What is this extra fee that I got when I used my card to pay?,15
Was I charged extra for using my card?,15
Let me know when applying extra charges for payments. I just checked the app and saw a fee that I wasn't warned about.,15
Why was I charged an additional fee when paying with card?,15
Why did I get charged extra?,15
I paid with card and I was charged a fee,15
I made a purchase but never expected to see a fee charged for the transaction.,15
I was charged for using my card?,15
My card was charged more than expected.,15
Where can I check to see if there will be a fee added to my payment? Are there specific instances that will result in a fee added?,15
Why have i been charged a fee for using my card?,15
Why was I charged extra using my card?,15
How was I charged extra when I used my card to pay?,15
When do i get charged a fee for using the card?,15
"I see I was charged extra when I used the card.  I am not sure why, please tell me why.",15
Why was I charged a fee for my card payment?,15
Why was I charged an extra fee when using the card?,15
Let me know when you charge for payments. I just checked the app and saw a fee that I wasn't warned about.,15
What is the charge for paying with my card?,15
I paid with my card and ended up being charged a fee.,15
Why is there a fee on a card payment?,15
I was unaware of the additional charge that was added onto my previous payment. A notification of extra charges would be appreciated in the future.,15
I don't think I should have been charged a fee to use my card.,15
A fee that shouldn't be there is there after using my card!,15
"How do I see what fees I am supposed to be charged on my account? I've noticed fees on some transactions, but not on others. This is very confusing and I cannot find a pattern to what I am being charged?",15
Why am I getting charged more for using my card?,15
I see a fee that I think was charged because I paid by card.,15
What are the fees imposed when I make a transaction?,15
What was the extra charge for using my card?,15
Why was a fee added to my bill when I used my card?,15
Please tell my why I was charged a fee for using my card?,15
How can I check how much free spending I have left? I have some big purchases coming up and want to know where I can look for any info.,15
I was charged a fee when buying stuff with my card.,15
I was charged an additional amount of money for making a purchase with my card,15
What is the fee charged for using my card?,15
I just saw a fee on my account. When do these get charged?,15
Is it normal to get charged extra when i use my card?,15
This fee shouldn't be there after I paid with a card.,15
Why am I charged an extra fee on my card?,15
Why did I get charged more for using my card?,15
I recently bought an item using my card and I was charged an extra fee why is this?,15
I am angry that I got charged for using my card.,15
I wanted to know why i got an additional fee when i use my card.,15
"Is there a fee for making a payment? If so, let me know why.",15
Please tell me why I would have to pay a fee for a recent payment. Thanks.,15
Why was I charged a fee for debit or credit card payment?,15
Why was an extra charge added when I used my card?,15
Why have I been charged a small fee to use my card?,15
I was charged an extra fee for a card payment. I was unaware of these fees beforehand.,15
Why is there a fee associated with card use?,15
What is this fee showing up in my account for?,15
I got charged for with a fee for paying with my card.,15
Why am I being charged a fee on a card payment?,15
Is there a  way to  get around fees,15
I noticed an extra fee when I paid with my card.,15
You advertise no fee when paying with a card then my statement shows a fee.,15
"There was an extra fee when I paid with my card, why was i charged this extra fee?",15
Why was there an additional fee on the payment I just made? I don't usually have additional fees applied to my payments.,15
what is this extra charge with my purchase?,15
Hello! I randomly got charged an extra fee today as i was shopping online and i have no idea why! Are there extra fees for card payments? Or am i missing something here?,15
Please explain the extra fee when I paid with the card.,15
When do you charge fees on accounts? I just saw a charge on my statement.,15
After I used my card I saw I was charged a fee for using it,15
Is there an allowance on cards?,15
Why am I being charged a hidden fee?,15
Can you explain why I was charged extra when I used the card?,15
Why did I get charged a fee on my card?,15
Do you have charges now when you pay with a card?,15
What is the extra fee that was added when I used the card?,15
Why am I charged a fee for using my card on some purchases?,15
Why am I being charged a fee for using my card? If there is some print out of places that charge me can you please send me that?,15
How can I tell if there will be a fee added to my payment or not?,15
You promised no fees but now I've got one. What the hell!?,15
How do I know which payments I make will have additional fees? Where can I find this information online?,15
Why is my last cheque deposit taking so long?,6
I am still waiting for a the cash I deposited this morning,6
"I tried using a check to update my balance, but it isn't work? Is something wrong?",6
I deposited cash but it isn't showing up in my account,6
I put some cash into my account but it's not displaying that on my balance.,6
Why hasn't my cash been deposited yet?,6
"Hi, I want to inquire about my balance. Some cash was deposited and it hasn't updated yet.",6
I deposited a check yesterday and im not seeing it posted yet in my account. why is that? can you look into it?,6
"I made a deposit a couple of days back it's, as of yet, not gone in! It would be ideal if you assist me with this",6
"The cheque I sent a few days ago has not been deposited yet, what is the hold up?",6
cash and check deposit has not gone thru,6
"my balance has not changed, despite depositing a cheque",6
Why did my cash deposit not show up?,6
Why is my money not in my account. I have already sent it out.,6
I placed a cash deposit in my account but I can't see it yet.,6
I'm not seeing my cash deposit showing up in my account.,6
Last week I put a cash deposit into my account and it is still isn't there.,6
I checked the app and my balance has not been updated for the cash or cheque deposit.,6
"I put some money in my account the other day and it's not gone in yet, can you help with this?",6
I did a cash deposit to my account but it doesn't show up,6
I can't see my cash deposit in my account.,6
"I deposited money in the form of a cheque, but my balance has not increased.",6
Where is the cash deposit I made?,6
"I can't figure out why I haven't gotten my cash, when I already put the check in the bank.",6
Why is my deposit still pending?,6
I made a cash deposit and the balance wasn't updated.,6
I did a cash deposit to my account but my balance is still the same. What happened?,6
I just deposited cash to my account and can't find it!,6
Online banking is not showing my cheque or cash deposit so the balance is incorrect.,6
i need help. I updated my balance with a check yesterday and Im not seeing it. Can you look at my account to see what went wrong?,6
When will my cheque be processed?,6
What happens if I deposit a cheque accidentally?,6
Why isn't my cheque deposit showing on my account?  I though it would be faster and would like to to look into it and help.,6
When will my deposit from this morning show up?,6
I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there.,6
Where is my missing cheque I deposited?,6
My balance doesn't show my deposit.,6
My account balance doesn't reflect an update I made by cheque yesterday. Is something wrong or is the system slow?,6
I made a deposit and the balance hasn't been updated.,6
I have yet to receive the cash I added to my account this morning.,6
Why isn't my cash deposit showing up in my account?,6
"I deposited some cash but it hasn't shown up in my account yet, what's going on?",6
I deposited a cheque but the cash hasn't arrived yet,6
I've already sent the money out and still have not received money in my account.,6
I have made a recent check and cash deposit that isn't reflected in my balance.,6
I placed a cheque but the funds aren't there,6
The cheque I sent to you to have deposited a couple days ago has not cleared in my account yet. What is the issue?,6
"the balance has not changed, but I have deposited some money",6
"I am worried about the amount of my cheque, which should be credited to my account few days before. As i have already sent you the cheque.",6
I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this?,6
I've deposited a check but the cash isn't showing that it's there yet.,6
Waiting for the cash I deposited this morning still,6
"I put cash in my account, but I don't see it.",6
Where did the money I deposit go??,6
"I Submitted a cheque couple of days ago, nothing happened to my account yet.What could be the possible issue?",6
I made a cash deposit a few days ago and it's still not reflected in my account. Do you know what might have happened?,6
Why is the cash not showing in my account for the check I deposited?,6
When will the check I deposited post to my account?,6
How do I see my updated balance after I make a cheque or cash deposit?,6
Why isn't my deposit in my account?,6
Where is my cash deposit in my balance?,6
Dude I put money in the ATM last week but it ain't there! I need the money now figure this out!,6
"I deposited cash this morning, but it's not showing up in my account. Can you tell me where's my money?",6
How long does it take for a cheque to post to your account?,6
Why has my account balance not changed after depositing a cheque?,6
Where is the cash I deposited?,6
Why is my balance still the same after a cheque deposit?,6
Why is my check still not showing up on my account? It's been a week already,6
Why isn't my balance updating after depositing cheques and cash.,6
My cash deposit isn't in my account. What happened?,6
I updated by balance with a cheque yesterday but it isn't showing on my account. Did something go wrong?,6
I sent you a cheque a few days ago and I noticed that nothing has happened yet. Can you tell me the status of my cheque please?,6
Why isn't my deposit showing up?,6
My balance was not updated with my checque or cash deposit.,6
"Help! I'm missing money, I deposited a cheque but its not showing on my balance.",6
My cash deposit from a week ago is still not in my account. Can you help me please?,6
I made a deposit but it is not showing up in my balance.,6
I sent a cheque a few days ago and i noticed that no money has been put on my account. Can you please tell me the situation of my account?,6
The cheque I deposited isn't showing in my account,6
my check or cash deposit has not shown up,6
Why isn't my cash deposit showing up in my account? I deposited it this morning.,6
"I deposited a cheque, why isn't my balance showing that I did?",6
Why hasn't my cash arrived from a deposited check?,6
"I put money in my account a week ago but its still not there, what is happening?",6
"I made a cash deposit, but it hasn't shown up in my balance yet.",6
"When will I see my cash, since I already deposited my check?",6
"Hi,  My money has not been credited to my account for which i have sent you cheque few days before. I am worried about the money please let me know the status.",6
I haven't seen the cash yet from the cheque I deposited.,6
I've deposited a check in my account but the cash isn't showing as available.,6
"I sent a cheque to you a few days ago and the deposit has yet to appear in my account. I need this money, what is the problem?",6
What's going on with my balance? Shouldn't it be a bit higher since I deposited a cheque a day ago?,6
Why am I not seeing the check I deposited this morning in my account?,6
Do you guys accept cash? Because i deposited some this morning and I can't see it in my account.,6
My cash deposit hasn't posted to my account.,6
"I had a cheque deposited, but I don't see my money yet?",6
My balance is not right. It has not been updated for the cash or cheque deposit.,6
"After I deposited my cash, I still don't see it in my account.",6
I made a cash deposit going to my account but it is not there,6
"I deposited a check yesterday and Im not seeing it in my account. i need the money, is there something wrong with my account? check it out please",6
My cheque deposit didn't seem to work.,6
I still do not see the cash deposit in my account from last week. Why?,6
When will my cheque process?,6
"I deposited a check, but haven't received the funds for it.",6
After depositing a cheque my balance did not change.,6
Cash has been deposited this morning but it hasn't came through.,6
I deposited a cheque a week ago but have yet to receive the cash.,6
"I put money into my account in the form of a cheque, but my balance did not change.",6
"I deposited cash into my account a week ago and it is still not available, please tell me why? I need the cash back now.",6
"My mother deposited a cheque into my account last week, why is it still not showing up?",6
Why hasn't my balance been updated from the check deposit I made?,6
Where is the money I put in the bank?,6
I haven't received the cash from the check I deposited.,6
After trying to update my account balance yesterday by cheque it doesn't seem to working. Shouldn't the process be quicker? I need my account looked at because there appears to be a problem.,6
Is there an issue with my account?  I don't see a cheque deposit that I made yesterday.  Please assist.,6
"Even though I made a cash deposit, I am not seeing it in my account.",6
I put money in my account a week ago but its still not there?? What happened to my money?,6
Why did the cash deposit not show up in my account?,6
What is going on? My balance still hasn't updated and it has been two weeks since I deposited my money!,6
"I deposited cash into my account, why do I not see it?",6
Can you tell me why a cheque deposit isn't showing in my balance?,6
Why is my cash deposit not in my account?,6
Why isn't my money from a check deposit showing?,6
"I put my check in the bank, but I haven't gotten my cash yet?",6
How long should a cheque deposit take to show? My account hasn't updated and I want to make sure everything is okay.,6
i used a check check yesterday to balance my account and it isn't showing up?,6
"I recently deposited some money into my account, but it still isn't showing up. What's going on?",6
"My friend deposited $100 into my account, but it is not showing up!",6
The cash deposit I made this morning has not been credited to my account,6
"I did a cash deposit to my account, but I am not seeing it on my statement.",6
I deposited a cheque but I don't see the funds in my account.,6
When will my deposit post to my account?,6
I am still waiting for the cash to be returned from a cheque I deposited!,6
How long does it take to show a deposit I made to my balance?,6
I deposited cash into my account and I'm having trouble seeing it on my account.,6
"I wrote a check to the account yesterday to add to my balance, but I don't see the amount of the check reflected anywhere.  Is it being held up for some reason?  I should have seen a new balance by now!",6
How long do cheques take to post to your account?,6
I deposited money but my balance hasn't been updated yet.,6
"I deposited cash this morning, but it is not yet available.",6
I have cash deposit to my account but it is experiencing a problem,6
How long will it take for the cash I deposited this morning to show up?,6
The cast deposit from a week ago still is not in my account. Why?,6
Why is the check I deposited this morning not showing up?,6
How long do deposits take to appear? I've been waiting for more than a week and need the money!,6
When will my deposit be processed?,6
I am still awaiting the money I put into my account this morning.,6
Why am I still not able to see the money I deposited a week ago? This is urgent!!,6
I deposited a check a few days ago and it's still not gone in! Please help me with this,6
I made a check and cash deposit that wasn't credited to my account.,6
"I deposited a check yesterday to up my account balance, but that deposit hasn't shown up yet.  It's been a day already!",6
Why hasn't my cheque processed?,6
I am still currently waiting for the cash that has been deposited into the account this morning.,6
I sent a check into the system but still haven't received the cash yet,6
I recently deposited a cheque and cannot find the cash from it.,6
When will I receive the cash payment from the check I deposited?,6
My cheque is slow to cash,6
I attempted to deposit a cheque yesterday but the balance isn't showing today. Is it still pending?,6
Why haven't I seen the cash from the cheque I deposited yet?,6
My cheque is taking a while,6
I made a cash deposit to my account but i don't see it,6
The check I deposited yesterday isn't listed yet.  Isn't that pretty slow?  I need to see the balance increased by that check.,6
where is my money from this morning,6
Why is it taking so long for my money to appear in my account? I have been waiting a week!,6
"I deposited a cheque, but the balance hasn't changed yet.",6
My account balance has not updated since I deposited a cheque recently.,6
How long does a check take to show up in the account balance?,6
What is going on with my cash deposit. I'm looking at my account balance and it is not there. It has been almost a week. Someone better get back to me asap.,6
Why hasn't my account updated?,6
I haven't received the money from the check I deposited.,6
"I deposited a cheque with some money, but the balance hasn't changed.",6
"I deposited a cheque, but my account balance stayed the same.",6
Why hasn't my balance been updated? I've deposited a few cheques some days ago!,6
why hasn't my cash arrived yet from my cheque?!,6
I made a check deposit but the cash hasn't arrived in my account yet.,6
The balance hasn't changed yet after depositing a cheque with some money.,6
What happened to my cash deposit?,6
"Please, tell me why I can't have the funds I deposited a week ago? I need the money now.",6
"After my checque or cash deposit, my balance didn't update.",6
When will my balance reflect a deposit?,6
I made a cash deposit to my account but it is not there,6
I deposited a cheque and its been days and I still haven't received the cash!!,6
"I deposited some money, but the balance has not changed.",6
"Hi, i found a large amount payment in my old statements which i am sure was not made by me. I am aware that the time has passed but is there a way to raise a dispute for this payment now?",28
what is the word?,28
Please help my find out why there is an odd direct debit in my records.,28
I am seeing in the App a diret debit that its not mine,28
There is a direct debit payment that I did not make.,28
There is a strange charge on my debit statement,28
There is a Direct Debit that looks suspicious.,28
Is there a way for you to find out why my account was deducted from a seller when I didn't approve of it?,28
Why is there a direct debit payment on my statement that I didn't do?,28
A direct debit payment that I didn't authorise shows up in my app.,28
My app is showing a payment that I know I did not do. Can you please cancel that transaction and credit my account please?,28
i would like to dispute a direct debit payment,28
Is it possible to dispute a debit payment from a couple of months ago.,28
A direct debit payment I didn't do shows in my app,28
I see a direct debit transaction in my history that I did not set up.,28
A false direct debit payment is showing in my app,28
I do not understand what this particular direct debit is ?,28
There was some money taken from my account that I don't remember paying for. Am I able to look up this transaction which was a few weeks ago to see who took out the money? Im not sure I need a refund just want to check to make sure it's legit.,28
Please tell me what this direct debit in my statement is,28
what is this charge on my card?,28
"A few weeks ago, a strange transaction was made on my account by a seller I don't know. I am quite sure I didn't do it and will like for you to check it for me.",28
Is there a strict timeline regarding disputing transactions made on my account? I just noticed a fraudulent charge on a statement from a couple months ago.,28
There is a mysterious debit transaction on my statement,28
what is the matter?,28
My account shows I made a debit payment to someone that I can't recall and would like to find out who the payment was made to.,28
I don't recognize the direct debit payment from the app.,28
I need a refund on a direct debit that shows in the app because I did not make it.,28
"hey, I think someone stole my card numbers. There is a purchase showing up on my app from a store pretty far away from me.. I really need that money back to pay my rent.",28
I was just going over my transactions for the past couple of months and noticed a large type charge that I know I did not make. Even though it's been a while can I please still dispute this?,28
There was a charge made on my card from a couple weeks ago and I don't remember making the purchase. Nor do I remember the company itself. Can we trace this at all to confirm if I did it or not?,28
There is a direct debit payment I don't recognize.,28
What is this direct debit in my statement?,28
This debit is not my transcation. How do I get my money out back?,28
How can I get my money back for a payment i didnt make,28
I don't recognize the direct debit payment on my account.,28
A direct debit appears in the app but I didn't authorize it.,28
I'm seeing a direct debit payment that is not me.,28
I see a direct debit transaction that I didn't make.,28
Could I raise a dispute for a large payment that i found out was not done by me in my couple of last statements? I am aware its delayed now. Please help me out.,28
I don't know where a direct debit payment came from,28
Who do I contact if there is a direct debit that I did not create.,28
There was a direct debit from my account and I didn't authorise it,28
"I'm checking my statements and I saw a purchase from a couple weeks ago that I don't recall at all. Not only that, but I don't even know the business that charged it. I'm not sure if I did it or not, but can we check it and see if we can trace it back to make certain?",28
I don't recognise a Direct Debit payment,28
There is a direct debit transaction on my statement that I think is not mine. How do I remove?,28
there is a debit i dont recognize,28
There are automatic debits on my account that I did not make.,28
I may need to dispute a Direct Debit payment.,28
"There's a weird payment showing in my app that I definitely haven't made myself, as I haven't used the card at all that day. Please cancel that and return my money.",28
There is a direct debit fee in the App that I didn't do.,28
What do I do about a debit on my account that I didn't make?,28
I did not set up a direct debit I have,28
"If I found an error in my account for a transaction I didn't make, how long to I have to dispute it?",28
There is a direct debit transaction that I did not authorize,28
Can you help me figure out what is going on with a debit payment that is showing up on my account I am not sure is suppose to be there.,28
I am seeing a direct debit I wasn't aware of.,28
I found a charge on my debit that I did not make.,28
How can I dispute a direct debit transaction?,28
How can I dispute a debit transaction?,28
My statement shows a strange direct debit.,28
"I have an unknown debit charge in my statement, why?",28
"I just noticed that I supposedly made a payment to a seller a while back. The problem is, I don't recognize the seller. There must be a way to see who it is or track the payment. Can you do that, because I don't remember this transaction?",28
"In my app, a direct debit payment that I didn't do shows up.",28
There's an unauthorized direct debit in my app.,28
I see a direct debit that isn't mine? How can I get my money back?,28
My account statements show a debit payment that I didn't make it's from some time ago I need to know if it is disputable.,28
There is a debit transaction on my statement that I did not make,28
There is a direct debit payment on my account that I didn't authorize.,28
I didn't set up the direct debit I have,28
What do I do if I find a debit charge that I know I didn't do in my billing statement?,28
i do not know what this charge is for,28
What do I do if there is a direct debit on my account that shouldn't be there?,28
I think I am a victim of fraud.  I noticed there was a charge on my account that I didn't do because I haven't touched my card today.  Can you please reverse the charge and refund my money?,28
There is a direct debit charge on my account that I don't recognize.,28
"Recently, a few weeks ago there was a transaction made on my account by some seller that I don't recognize. I am very certain that didn't happen  and will like for you to trace back to make sure.",28
Someone else charged my card!,28
"Am I able to look back at a transaction to see who with drawled some money from my account? I don't remember authorizing this a few weeks ago, but wanted to double check who took the money.",28
How do I dispute a direct debit on my account?,28
I did not make a direct debit payment as listed on my app,28
There's a direct debit payment that I don't recognize.,28
How do I dispute a debit that I didn't make?,28
I don't know where this debit transaction on my statement came from.,28
The app is showing a direct debit transaction that I did not perform,28
The app is showing a direct debit payment that I never made,28
"I was checking the app for my account and I noticed there is an authorized charge on it.  I haven't used my card today, so I know I didn't do it.  I would like the transaction reversed and the money replaced.",28
I want a refund on a direct debit.,28
"Hi, i was checking my old statements and found a discrepancy with a large amount transaction. I am sure it was not done by me. Please let me know if i could raise a dispute as its very late.",28
There is a debit paymet that I don't recognize.,28
What can I do about a direct debit transaction on my card that I didn't make?,28
I need assistance addressing a direct debit that I did not do myself.,28
I see a direct debit transaction in my app that I didn't make.,28
I see a direct debit payment on my statement that wasn't me,28
How long after I receive my statement can I dispute payments on it?,28
How do I dispute a direct debit transaction?,28
"I notice a transaction a couple of weeks ago in my account, from a seller that I don't recognize. Is there a way we can trace back the information to make sure it was truly something I did?",28
what is this charge i didnt do it what can i do,28
I have a direct debit on my records that is strange and I need help.,28
I would like to dispute a payment I didnt make,28
I found a direct debit I would like to dispute,28
"I saw money was taken out of my account by a seller a while back. I do not recognize the seller, but I'm pretty certain I didn't make that payment. Can you track who the seller is?",28
There is a direct debit patentp that I haven't authorized.,28
I can't recognise this Direct Debit payment.,28
I would like to dispute a direct debit transaction,28
"Please help! I was looking at my account and saw a transaction with a seller I don't remember. Is it possible for you to track the sale, because I really don't think I made a payment to them.",28
Why is there a direct debit set up in my name?,28
I don't recognize this debit transaction in my billing statement?,28
I didn't set up a direct debit payment on my account.,28
I need to dispute a direct debit.,28
My account shows a direct debit charge that I have never seen before,28
I might have been charged on my debit statement by fraud.,28
"I just went through a old statement and noticed that a very large payment went through and i did not make it. It was from a few months ago, can I still dispute the payment?",28
I am not recognizing a debit payment from my account.,28
I have a direct debit that I did not set up,28
I have gone through my statements and noticed there is a large payment that I did not make. Can i still dispute the payment? its been a while,28
I see a charge for a direct debit that was not me.,28
There was a strange transaction made on my account a couple weeks ago by a seller I don't recognize. May you please check on this transaction for me.,28
There is a potentially fraudulent direct debit on my account.,28
I have a direct debit I didn't set up,28
Help!  In the app there is a direct debit that I don't remember.,28
Please help me regarding a direct debit in the app that I don't recognize.,28
how do i get a refund for a direct debit payment i didn't make,28
I need to cancel a transaction on my debit card.,28
I think I was charged by mistake on my debit statement.,28
Purchases I did not make are appearing in my bank statement?,28
"On my app I can see that a direct debit payment that I didn't do, appears.",28
There's a payment showing in the app today even though I have not used my card at all. I want a refund.,28
Unusual direct deposit,28
I didn't make the direct debit payment on my account.,28
People are using my debit card - help!,28
I have an unfamiliar direct debit in my statement.,28
How do I dispute a direct debit that I didn't do?,28
Weird Direct Debit payment,28
I have an unauthorized direct debit on my account,28
I have an unknown charge.,28
What do I do if there is an electronic debit that is not correct?,28
There is a payment showing that I know I didn't make. I didn't use my card that day and I'm sure of it. Can you please cancel that transaction and return my money? Thankyou,28
after going over my transactions for the last couple of months I noticed a pretty large charge that I know I did not make. I know it's been a while but can I still dispute this charge?,28
Someone else made a Direct Debit transaction on my account,28
How can I dispute a direct debit charge on my account?,28
I have a direct debit I didn't make,28
I have an unauthorized charge.,28
A debit came through that I need to dispute.,28
There is a payment in my app that I did not make.  I have not used that card all day  Please reimburse my money.,28
I don't know what this Direct Debit payment is.,28
I see a direct debit payment on my app that I did not do,28
How do I get a refund for an unauthorized direct debit payment?,28
There was a direct debit I don't recognize.,28
I see an unfamiliar Direct Debit payment.,28
In the app I see a direct debit that I don't recognize.,28
Why am I seeing a direct debit thats not mine?,28
Can I dispute a debit payment that I am seeing that I didn't make from a couple of months ago?,28
There is a direct debit set up that I didn't create.,28
"There is a direct debit charge that I don't recognize, what can I do?",28
"I have not used my card all day, however, there is an unusual payment showing in my app.  I would like to have that amount reimbursed.",28
I don't know what this Direct Debit payment on my account is for.,28
There is a direct debit charge on my account that is not mine.,28
I see a direct debit transaction in the app that is not mine,28
There is a direct debit set up that was not authorized by me.,28
I didn't initiate a direct debit that I see on my account,28
Why is there a direct debit fee in the App when I didn't do it?,28
There is a payment I don't recognise!,28
A couple weeks ago there was a debit taken from my account from a transaction I don't recall. Is it possible to trace this transaction to make sure I'm not being scammed?,28
What should I do about a direct debit that I did not set up?,28
There was a direct debit transaction I have don't think should be there.,28
I just found a payment from a while back in my account that I didn't make.  Can I still dispute it even though it was a couple of months ago?,28
I do not recognize a direct debit payment that I see on my app,28
My account was charged a debit payment I don't recognize.,28
"In my app, a direct debit payment I didn't do shows in my app",28
My accounts been charged a payment for something I didn't make.,28
looking back on my transactions from a couple of months ago I have noticed a charge that is fairly large that I'm certain was not completed by me. I know it has been a while but can I please dispute this charge?,28
I see a direct debit charge that I did not approve,28
The app shows Direct Debit payments that I didn't make,28
I have an unknown direct debit payment on my account,28
"There is a direct debit that I didn't set up, what should I do?",28
I see a direct debit that I didn't authorize,28
"I know this very late, but I just went through my statements from the last couple months and there's one quite large-ish payment that I definitely haven't made. Is it still possible to dispute it?",28
I checked my account and see that funds were deducted from a seller I didn't approve of. Can you help me understand?,28
There is a transaction showing in my app that I did not make as I have not used that card all day.  Please reimburse this amount to my account.,28
My app shows a direct debit that isn't mine.,28
I haven't used my card all day but there is a payment showing in the app. Please cancel it!,28
